"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","479","CT08 - Validate required fields when creating a product [case 3]","","2026-03-12","passed","2026-03-12","Produtos - ServeRest API","","",""
"","125","CT05 - Validate invalid email format: 12345@test.c","","2026-03-12","passed","2026-03-12","Login - ServeRest API","","",""
"","941","CT02 - Cancel purchase and return products to stock","","2026-03-12","passed","2026-03-12","Carrinhos - ServeRest API","","",""
"","398","CT16 - Prevent updating user with duplicate e-mail","","2026-03-12","passed","2026-03-12","Usuários - ServeRest API","","",""
"","1063","CT04 - Prevent creating more than one cart for the same user","","2026-03-12","passed","2026-03-12","Carrinhos - ServeRest API","","",""
"","755","CT05 - Update information of an existing product","","2026-03-12","passed","2026-03-12","Produtos - ServeRest API","","",""
"","156","CT04 - Advanced JSON validations with filters","","2026-03-12","passed","2026-03-12","Usuários - ServeRest API","","",""
"","299","CT06 - Validate with fuzzy matching","","2026-03-12","passed","2026-03-12","Usuários - ServeRest API","","",""
"","390","CT13 - Restrict product creation to administrators only","","2026-03-12","passed","2026-03-12","Produtos - ServeRest API","","",""
"","181","CT07 - Conditional validations based on values","","2026-03-12","passed","2026-03-12","Usuários - ServeRest API","","",""
"","289","CT03 - Validate required fields on login","","2026-03-12","passed","2026-03-12","Login - ServeRest API","","",""
"","175","CT01 - List all users and validate JSON structure","","2026-03-12","passed","2026-03-12","Usuários - ServeRest API","","",""
"","162","CT05 - Validate invalid email format: email@nodomain","","2026-03-12","passed","2026-03-12","Login - ServeRest API","","",""
"","215","CT05 - Cart not found by ID","","2026-03-12","passed","2026-03-12","Carrinhos - ServeRest API","","",""
"","338","CT13 - Create and delete user based on JSON payload","","2026-03-12","passed","2026-03-12","Usuários - ServeRest API","","",""
"","105","CT15 - Get user by invalid ID should return 400","","2026-03-12","passed","2026-03-12","Usuários - ServeRest API","","",""
"","177","CT05 - Validate invalid email format: @noname.com","","2026-03-12","passed","2026-03-12","Login - ServeRest API","","",""
"","402","CT04 - Login and use token to access a protected resource","","2026-03-12","passed","2026-03-12","Login - ServeRest API","","",""
"","1084","CT12 - Prevent deleting a product that is part of a cart","","2026-03-12","passed","2026-03-12","Produtos - ServeRest API","","",""
"","131","CT05 - Validate invalid email format: !@#$%","","2026-03-12","passed","2026-03-12","Login - ServeRest API","","",""
"","166","CT10 - Use variables for dynamic validations","","2026-03-12","passed","2026-03-12","Usuários - ServeRest API","","",""
"","128","CT09 - Validate absence of fields","","2026-03-12","passed","2026-03-12","Usuários - ServeRest API","","",""
"","304","CT05 - Validate error messages when creating a duplicate email","","2026-03-12","passed","2026-03-12","Usuários - ServeRest API","","",""
"","204","CT04 - Search for products using query parameters","","2026-03-12","passed","2026-03-12","Produtos - ServeRest API","","",""
"","107","CT05 - Validate invalid email format: emailwithoutat","","2026-03-12","passed","2026-03-12","Login - ServeRest API","","",""
"","140","CT01 - List all products and validate JSON structure","","2026-03-12","passed","2026-03-12","Produtos - ServeRest API","","",""
"","348","CT08 - Validate required fields when creating a product [case 1]","","2026-03-12","passed","2026-03-12","Produtos - ServeRest API","","",""
"","328","CT11 - Create a product from fixed JSON payload","","2026-03-12","passed","2026-03-12","Produtos - ServeRest API","","",""
"","355","CT03 - Create a new user with complete validations","","2026-03-12","passed","2026-03-12","Usuários - ServeRest API","","",""
"","145","CT07 - Attempt to create a product without an authentication token","","2026-03-12","passed","2026-03-12","Produtos - ServeRest API","","",""
"","161","CT09 - Work with complex JSON data","","2026-03-12","passed","2026-03-12","Produtos - ServeRest API","","",""
"","574","CT08 - Prevent cart creation with non-existing product","","2026-03-12","passed","2026-03-12","Carrinhos - ServeRest API","","",""
"","1577","CT01 - Full cart lifecycle for authenticated user","","2026-03-12","passed","2026-03-12","Carrinhos - ServeRest API","","",""
"","68","CT12 - Create a user from fixed JSON file","","2026-03-12","passed","2026-03-12","Usuários - ServeRest API","","",""
"","313","CT08 - Validate formats with regular expressions","","2026-03-12","passed","2026-03-12","Usuários - ServeRest API","","",""
"","719","CT14 - Prevent deleting user that has an associated cart","","2026-03-12","passed","2026-03-12","Usuários - ServeRest API","","",""
"","498","CT03 - Validate error when creating a product with a duplicate name","","2026-03-12","passed","2026-03-12","Produtos - ServeRest API","","",""
"","766","CT07 - Prevent cart creation with duplicated products in the same cart","","2026-03-12","passed","2026-03-12","Carrinhos - ServeRest API","","",""
"","284","CT02 - Get a specific user by ID","","2026-03-12","passed","2026-03-12","Usuários - ServeRest API","","",""
"","512","CT02 - Create a new product as an administrator","","2026-03-12","passed","2026-03-12","Produtos - ServeRest API","","",""
